1,0#742.4,659.1;784.3,556.6;896.1,593.9;905.4,607.8;844.9,719.6;863.5,822.1;900.8,603.2;844.9,482.1;844.9,477.4;812.3,407.5;763.4,344.6;816.9,402.9;858.9,477.4;826.3,482.1;728.4,463.4;663.2,412.2
2,0#742.4,655.5;784.3,557.5;896.3,594.8;905.6,608.8;840.3,716.1;863.6,823.4;900.9,599.5;840.3,478.2;840.3,478.2;812.3,403.6;763.3,345.3;821.6,399.0;859.0,478.2;826.3,482.9;728.4,464.3;663.1,412.9
3,0#746.5,653.9;774.9,564.0;888.5,601.9;902.7,611.3;831.7,715.4;864.8,819.5;893.2,601.9;836.4,474.1;836.4,478.8;808.0,407.8;763.1,343.9;822.2,393.6;850.6,474.1;822.2,483.5;727.6,464.6;666.1,412.6
4,0#742.9,655.3;771.0,561.7;878.6,594.5;892.7,608.5;822.5,716.2;869.3,823.8;883.3,603.8;831.8,477.5;836.5,482.2;803.7,407.3;759.3,348.8;822.5,397.9;850.5,472.8;813.1,482.2;724.2,468.1;663.3,412.0
5,0#742.1,656.5;755.9,559.8;857.2,596.6;866.4,615.0;811.1,720.9;866.4,817.6;861.8,610.4;824.9,476.9;824.9,481.5;801.9,407.9;762.8,354.9;815.7,394.1;848.0,467.7;801.9,481.5;714.5,472.3;663.8,412.5
6,0#741.8,655.6;727.7,566.2;840.6,589.7;840.6,608.6;807.7,726.2;864.2,820.3;840.6,603.8;817.1,476.8;812.4,476.8;793.6,401.5;763.0,347.4;821.8,396.8;840.6,462.7;788.9,481.5;704.2,476.8;661.8,420.3
7,0#736.2,663.6;694.6,566.5;819.4,585.0;805.6,594.2;810.2,719.1;851.8,820.8;810.2,585.0;796.3,460.1;791.7,460.1;782.4,390.7;766.2,346.8;819.4,395.3;828.7,455.5;763.9,474.0;689.9,478.6;657.6,418.5
8,0#727.3,662.1;677.8,573.1;800.7,571.3;782.5,580.0;774.0,696.6;833.8,791.3;789.4,571.3;773.7,451.0;770.7,448.4;755.5,379.1;761.3,352.4;810.9,397.5;806.9,441.5;740.6,465.3;677.2,482.5;654.4,423.2
9,0#718.3,660.7;660.9,579.6;781.9,557.7;759.4,565.9;737.9,674.0;815.7,761.7;768.6,557.7;751.2,441.8;749.6,436.7;728.6,367.5;756.5,357.9;802.4,399.7;785.0,427.5;717.3,456.7;664.5,486.4;651.2,428.0
10,0#709.4,659.2;644.1,586.2;763.2,544.0;736.3,551.7;701.7,651.5;797.7,732.2;747.8,544.0;728.6,432.7;728.6,425.0;701.7,355.9;751.6,363.5;793.9,401.9;763.2,413.5;694.0,448.0;651.8,490.3;648.0,432.7
11,0#722.2,674.3;667.5,602.4;742.7,534.0;718.8,544.3;633.3,595.6;759.8,701.6;732.5,537.5;701.7,428.0;698.3,414.3;672.6,344.2;739.3,363.0;783.8,393.8;732.5,410.9;664.1,438.3;633.3,489.6;653.8,434.9
