1,0#742.4,659.1;784.3,556.6;896.1,593.9;905.4,607.8;844.9,719.6;863.5,822.1;900.8,603.2;844.9,482.1;844.9,477.4;812.3,407.5;763.4,344.6;816.9,402.9;858.9,477.4;826.3,482.1;728.4,463.4;663.2,412.2
12,0#725.1,678.1;651.2,604.1;725.1,526.7;696.9,544.3;587.8,593.6;721.6,681.6;711.0,537.2;672.3,414.0;672.3,403.4;652.9,327.7;696.9,340.0;753.3,368.2;711.0,392.9;630.0,428.1;594.8,477.4;612.4,449.2
13,0#727.8,697.8;661.3,613.8;703.3,533.2;654.3,533.2;542.1,557.7;636.7,641.8;678.8,533.2;647.2,396.5;647.2,393.0;629.7,326.4;643.7,319.4;713.8,340.5;685.8,379.0;608.7,417.5;549.1,452.6;580.7,407.0
14,0#727.9,708.4;679.9,624.6;672.0,528.7;624.0,532.7;508.2,524.7;576.1,620.6;652.0,528.7;628.0,400.9;628.0,392.9;608.0,325.0;606.0,299.0;664.0,325.0;664.0,392.9;584.1,408.9;516.2,424.9;536.1,372.9
15,0#715.9,718.2;685.4,626.9;642.0,540.0;594.1,535.6;481.1,496.5;515.9,592.1;620.2,535.6;598.5,400.8;594.1,392.1;581.1,322.6;559.3,270.4;611.5,318.2;637.6,392.1;559.3,405.2;481.1,392.1;494.1,326.9
16,0#706.3,718.4;658.6,622.9;618.8,539.4;567.1,539.4;459.7,475.8;467.7,571.2;591.0,539.4;563.1,404.2;563.1,396.3;551.2,324.7;537.3,275.0;575.1,324.7;598.9,400.3;527.3,408.2;471.7,380.4;455.8,316.7
17,0#696.3,712.3;638.0,624.9;588.1,537.4;533.9,537.4;438.2,466.6;425.7,558.2;563.1,537.4;529.8,400.0;529.8,400.0;521.4,329.2;527.7,293.8;558.9,337.5;571.4,391.7;500.6,408.3;442.3,400.0;450.7,333.4
18,0#666.6,697.3;616.2,608.2;554.2,550.1;503.8,550.1;422.4,460.9;391.4,546.2;530.9,550.1;507.7,410.6;507.7,406.7;492.2,340.8;530.9,305.9;554.2,356.3;546.4,402.8;468.9,414.4;430.2,410.6;453.4,356.3
19,0#622.2,677.2;591.0,580.0;514.6,555.7;459.0,559.1;396.5,455.0;368.7,538.3;486.8,555.7;479.8,423.7;483.3,416.8;472.9,350.8;531.9,326.5;542.4,375.1;525.0,413.3;438.2,423.7;438.2,406.3;445.1,371.6
20,0#568.5,660.0;568.5,558.5;422.5,555.3;482.8,561.7;568.5,558.5;352.7,533.1;457.5,561.7;454.3,434.7;457.5,425.2;447.9,358.5;528.9,350.6;540.0,390.3;505.1,418.8;416.2,444.2;533.6,396.6;528.9,350.6
21,0#512.2,649.6;536.9,543.3;396.1,570.5;467.7,577.9;546.8,548.3;336.8,548.3;435.6,573.0;438.1,434.6;435.6,422.3;425.7,365.4;524.5,365.4;522.1,419.8;480.1,424.7;391.1,434.6;393.6,481.6;403.5,464.3
22,0#475.4,649.2;516.5,553.4;437.1,586.2;374.1,575.3;327.5,479.4;327.5,575.3;406.9,583.5;415.2,438.3;415.2,427.4;411.0,365.8;524.7,383.6;511.0,438.3;464.4,435.6;365.9,438.3;365.9,490.4;404.2,468.5
23,0#458.3,669.8;482.2,571.3;413.5,583.3;362.8,583.3;312.1,499.7;327.0,598.2;386.7,583.3;398.6,443.0;395.6,431.1;394.1,366.9;515.0,410.2;497.1,457.9;446.4,440.0;350.9,437.1;321.0,443.0;365.8,431.1
24,0#463.3,684.4;450.8,585.0;391.8,581.8;342.1,581.8;304.8,519.7;320.3,609.8;366.9,581.8;382.5,448.2;382.5,432.7;387.1,369.0;513.0,429.6;485.0,476.2;435.3,448.2;335.9,438.9;289.3,426.5;345.2,410.9
25,0#461.0,685.1;431.4,586.5;378.8,583.2;326.2,573.3;296.6,547.0;322.9,635.8;352.5,579.9;372.2,445.1;372.2,435.3;378.8,372.8;510.3,448.4;474.1,491.1;421.5,455.0;322.9,435.3;276.9,405.7;342.6,372.8
26,0#440.8,676.5;429.7,576.5;374.1,587.7;314.9,580.2;296.4,565.4;329.7,661.7;344.5,583.9;366.7,446.9;366.7,435.8;377.8,369.2;507.4,469.2;463.0,506.2;414.9,458.0;314.9,432.1;274.1,387.7;311.2,321.0
27,0#421.3,661.4;427.9,555.5;368.3,585.3;312.0,585.3;298.8,578.7;328.6,681.3;341.8,585.3;365.0,442.9;368.3,436.3;378.2,370.1;507.4,482.7;464.3,512.5;418.0,456.2;315.3,426.4;288.9,376.7;293.8,312.2
28,0#418.4,634.6;431.9,540.1;388.1,580.6;320.6,590.7;296.9,597.5;327.3,698.7;361.1,584.0;374.6,449.0;374.6,438.9;384.7,374.7;509.6,503.0;465.7,523.2;425.2,462.5;330.7,428.7;290.2,384.9;288.5,335.9
29,0#420.8,610.3;431.0,522.3;403.9,583.2;346.4,586.6;312.5,627.2;329.5,728.8;373.5,586.6;390.4,454.6;390.4,441.1;400.5,373.4;512.2,522.3;468.2,535.8;437.8,471.5;343.0,430.9;285.5,407.2;287.1,358.1
30,0#427.8,592.6;424.2,563.9;413.4,581.8;355.9,589.0;330.8,660.8;330.8,750.6;384.7,585.4;402.6,452.5;402.6,441.8;415.2,371.7;514.0,538.7;474.4,542.3;452.9,470.5;352.3,434.6;284.1,431.0;285.9,378.9
31,0#472.7,599.6;472.7,596.1;430.7,582.1;374.8,589.1;350.3,673.0;332.8,760.4;402.8,585.6;420.2,456.3;420.2,438.8;429.0,381.1;521.6,561.1;490.2,540.2;469.2,470.3;367.8,435.3;294.4,449.3;283.9,396.8
32,0#492.5,624.5;499.6,560.2;453.2,578.1;399.6,581.6;360.4,678.0;331.8,760.2;428.2,578.1;431.8,456.7;435.3,435.3;440.7,379.9;521.0,553.1;521.0,535.2;485.3,460.3;381.8,442.4;310.4,467.4;289.0,417.4
33,0#503.3,652.7;458.6,619.2;473.5,574.5;425.0,578.2;365.4,660.2;346.8,760.8;447.4,574.5;443.7,455.2;443.7,436.6;441.8,375.1;510.8,500.0;548.0,511.1;495.8,455.2;387.8,447.8;324.4,485.1;294.6,440.3
34,0#471.5,676.3;453.1,613.6;482.6,584.0;438.3,584.0;368.2,646.8;357.1,753.9;460.5,584.0;453.1,451.2;449.4,436.4;447.5,368.1;541.7,480.7;563.8,484.4;501.1,451.2;397.7,454.8;338.6,499.1;298.0,462.2
35,0#472.7,697.1;448.9,601.8;493.2,581.4;445.5,584.8;367.3,632.5;367.3,737.9;469.3,584.8;455.7,448.7;455.7,438.5;454.0,372.2;506.8,421.5;557.8,445.3;503.4,435.1;397.9,458.9;350.3,510.0;295.8,486.2
36,0#479.7,724.4;458.0,626.7;497.8,583.2;447.1,579.6;360.2,608.6;367.5,717.1;476.0,583.2;454.3,445.7;454.3,438.5;458.0,373.3;505.0,358.8;548.4,405.9;501.4,431.2;400.0,460.2;356.6,518.1;295.1,503.6
37,0#479.2,742.0;462.9,640.3;495.4,579.3;450.7,579.3;357.2,583.4;369.4,685.1;471.0,583.4;454.8,449.2;454.8,437.0;458.8,367.9;505.6,321.1;540.2,380.1;499.5,428.9;406.0,461.4;357.2,522.4;296.2,522.4
38,0#485.1,759.3;475.7,656.0;499.2,580.8;447.5,571.4;348.9,547.9;367.7,651.3;475.7,576.1;452.2,439.9;452.2,435.2;452.2,364.7;522.7,303.7;541.5,364.7;499.2,421.1;400.6,458.7;353.6,519.8;297.2,538.5
39,0#496.5,772.7;491.4,676.1;491.4,584.7;445.7,579.6;359.3,528.8;369.5,620.2;466.0,584.7;450.8,437.3;445.7,437.3;445.7,361.0;521.9,315.3;552.4,371.2;496.5,416.9;400.0,457.6;344.1,518.6;303.4,544.0
40,0#503.0,777.2;498.6,686.0;481.3,581.8;424.8,568.8;372.7,521.0;368.4,603.5;455.2,573.1;442.2,442.8;442.2,429.8;433.5,360.3;522.5,345.2;563.8,395.1;498.6,425.5;385.8,455.9;338.0,516.7;298.9,534.0
41,0#518.5,782.4;497.1,692.5;480.0,589.8;432.9,581.2;368.6,512.7;360.1,598.3;458.5,581.2;441.4,444.2;441.4,431.4;432.9,362.9;518.5,367.1;557.0,418.5;492.8,431.4;381.5,452.8;325.8,508.4;317.3,499.9
42,0#526.3,777.7;500.4,682.9;478.9,588.2;427.2,579.5;341.1,514.9;345.4,609.7;453.1,583.9;440.2,446.0;440.2,433.1;438.0,362.1;522.0,394.4;556.4,446.0;491.8,437.4;384.2,454.7;315.3,489.1;323.9,459.0
43,0#530.3,771.2;511.2,683.7;473.2,584.7;419.9,573.3;320.9,542.8;343.7,649.4;446.5,584.7;442.7,447.6;442.7,428.6;437.0,369.6;518.8,421.0;553.1,474.3;496.0,443.8;389.4,447.6;317.1,459.1;343.7,405.8
44,0#534.0,766.7;513.8,669.7;473.3,588.9;416.7,584.8;319.7,564.6;348.0,673.8;445.0,588.9;445.0,443.3;445.0,431.2;445.0,366.5;525.9,451.4;562.3,495.9;497.6,447.4;392.5,435.2;327.8,427.1;364.2,366.5
45,0#537.1,758.7;517.8,654.7;479.3,593.1;417.7,585.4;321.4,585.4;348.4,693.2;448.5,593.1;452.4,446.7;452.4,435.1;460.1,369.7;537.1,462.1;575.6,512.2;506.3,458.3;402.3,431.3;348.4,396.6;377.3,333.1
46,0#526.3,741.6;522.0,638.7;474.9,587.2;419.1,587.2;329.1,612.9;346.3,724.4;453.4,587.2;462.0,450.0;466.3,432.9;474.9,368.6;569.2,480.0;577.8,518.6;517.7,467.2;410.6,432.9;384.8,372.9;387.0,302.1
47,0#519.3,721.3;527.2,622.6;479.8,587.1;424.6,583.1;345.6,638.4;349.6,745.0;452.2,587.1;475.9,452.9;479.8,437.1;483.8,373.9;578.5,488.4;582.4,535.8;527.2,472.6;428.5,433.1;400.9,373.9;394.9,316.7
48,0#512.6,697.4;535.0,603.2;481.2,598.7;431.8,594.2;368.9,661.5;346.5,764.7;454.2,594.2;490.1,455.0;490.1,437.1;508.1,374.3;588.9,504.4;588.9,540.3;535.0,473.0;445.2,437.1;404.8,396.7;404.8,338.3
49,0#510.6,669.4;535.2,591.6;498.3,591.6;441.0,587.5;387.7,669.4;350.8,759.5;469.6,591.6;502.4,460.5;502.4,444.2;514.7,382.7;592.5,513.8;576.1,542.5;551.5,472.8;453.2,444.2;404.1,415.5;404.1,358.1
50,0#505.0,646.0;468.3,619.3;518.4,592.6;468.3,589.3;398.3,659.4;358.2,756.1;491.7,589.3;511.7,465.9;511.7,452.5;525.0,389.1;565.1,519.2;578.4,562.6;565.1,482.5;465.0,449.2;411.6,432.5;411.6,375.8
51,0#448.0,694.1;455.0,642.1;538.2,603.9;486.2,597.0;406.4,645.5;389.1,749.6;510.5,600.4;520.9,472.1;517.4,458.2;527.8,395.8;572.9,527.6;583.3,562.3;572.9,486.0;468.9,458.2;416.8,451.3;411.6,390.6
52,0#478.5,686.4;478.5,622.4;552.6,612.3;498.7,608.9;414.5,632.5;427.9,733.6;529.0,608.9;525.6,480.9;525.6,467.4;525.6,403.4;562.7,541.5;596.4,568.5;579.5,491.0;478.5,467.4;421.2,470.8;411.1,420.3
53,0#492.8,676.3;460.7,612.1;566.6,624.9;515.2,624.9;422.2,618.5;463.9,714.8;540.9,624.9;531.3,490.1;528.1,474.1;528.1,409.9;563.4,551.1;605.1,573.6;585.8,499.8;479.9,480.5;431.8,486.9;415.8,438.8
54,0#487.2,689.1;528.3,615.7;578.1,630.4;519.5,627.5;434.4,624.5;484.3,715.5;551.7,627.5;534.1,495.5;531.2,474.9;529.7,414.8;572.3,548.3;613.3,562.9;586.9,498.4;481.3,489.6;434.4,507.2;416.8,457.3
55,0#541.6,674.5;570.1,604.7;579.6,626.9;522.6,626.9;449.7,645.9;497.2,737.9;557.5,626.9;541.6,493.8;538.4,477.9;527.3,422.5;601.8,528.7;652.6,550.9;592.3,493.8;490.9,493.8;443.3,519.2;421.1,477.9
56,0#572.8,666.6;546.6,607.6;582.7,617.4;530.2,620.7;467.9,673.2;490.8,774.8;556.4,620.7;543.3,496.1;540.0,476.4;528.6,422.3;635.1,515.8;658.1,528.9;599.1,492.8;490.8,496.1;451.5,535.4;422.0,496.1
57,0#561.4,695.5;527.5,705.7;585.2,617.4;527.5,617.4;486.8,685.3;493.5,790.5;558.0,617.4;551.2,495.2;544.5,474.9;539.4,435.8;612.3,471.5;653.1,495.2;605.6,488.4;493.5,498.6;456.2,549.5;422.3,519.0
58,0#560.7,711.1;557.0,642.3;582.4,613.3;528.1,616.9;488.2,696.6;484.6,794.4;560.7,616.9;538.9,486.5;538.9,475.6;533.5,412.2;562.5,405.0;615.0,446.6;586.0,472.0;488.2,497.3;459.2,558.9;423.0,533.6
59,0#568.6,728.6;548.3,647.6;580.7,603.0;536.2,611.1;483.5,675.9;479.5,789.4;560.5,607.1;532.1,485.6;532.1,473.4;532.1,408.6;580.7,372.1;605.0,424.8;576.7,465.3;487.6,497.7;459.2,566.6;422.8,554.4
60,0#570.3,745.2;548.1,652.4;574.0,604.2;522.1,611.6;470.2,671.0;477.6,771.1;548.1,611.6;522.1,489.2;522.1,478.1;436.8,437.3;477.6,544.9;536.9,530.0;566.6,467.0;477.6,504.1;455.3,574.5;422.0,567.1
61,0#573.4,768.7;551.1,672.1;573.4,612.7;525.1,616.4;465.7,649.8;480.6,746.4;551.1,612.7;517.7,490.1;517.7,475.2;502.9,412.1;579.0,384.2;618.0,434.4;566.0,467.8;469.4,508.7;454.6,583.0;424.8,590.4
62,0#574.2,792.2;555.4,694.6;562.9,619.5;510.3,615.7;465.3,634.5;480.3,709.6;536.6,619.5;510.3,491.8;502.8,476.7;484.1,420.4;593.0,412.9;615.5,450.4;555.4,469.2;461.5,514.3;442.7,593.2;416.4,604.4
63,0#574.0,812.8;554.0,712.8;550.0,612.7;498.0,620.7;474.0,608.7;482.0,676.7;526.0,620.7;498.0,496.7;490.0,480.6;468.0,418.6;602.0,436.6;610.0,480.6;542.0,472.6;450.0,512.7;430.0,600.7;409.9,624.7
64,0#570.2,818.8;554.4,727.8;534.6,617.0;483.2,617.0;502.9,739.6;550.4,826.7;506.9,617.0;479.2,498.3;475.2,482.4;457.4,417.1;593.9,470.6;609.8,502.2;526.7,474.5;435.7,514.1;415.9,593.2;411.9,636.8
65,0#572.4,818.9;548.0,721.1;519.5,615.2;466.5,615.2;462.4,664.1;466.5,696.7;495.0,615.2;470.6,488.9;466.5,476.7;452.3,413.5;584.7,484.8;588.7,509.3;523.6,476.7;417.6,505.2;397.3,586.7;409.5,619.3
66,0#569.8,814.5;547.0,712.0;509.1,613.3;455.9,613.3;463.5,693.0;455.9,708.2;482.5,613.3;467.3,488.1;459.7,461.5;454.1,429.3;577.4,499.5;573.6,526.0;516.7,476.7;414.2,495.7;380.0,560.2;406.6,583.0
67,0#572.2,801.1;550.8,697.5;490.1,597.5;443.6,597.5;468.6,636.8;461.5,719.0;465.1,597.5;461.5,479.6;457.9,454.6;452.6,402.8;568.7,508.2;565.1,533.2;515.1,472.5;404.3,483.2;365.0,540.3;386.5,540.3
68,0#570.3,778.1;551.8,677.9;481.3,592.5;433.0,592.5;473.9,651.9;462.7,729.8;451.6,592.5;455.3,473.8;455.3,451.5;449.7,394.0;566.6,518.3;559.2,536.9;514.7,473.8;399.6,473.8;344.0,503.5;373.7,499.8
69,0#566.1,765.6;562.4,653.8;473.0,590.5;424.5,590.5;484.1,650.1;465.5,754.4;446.9,590.5;458.1,471.3;454.3,452.7;448.8,391.2;554.9,530.9;558.6,542.1;513.9,471.3;405.9,460.1;335.2,460.1;383.6,426.6
70,0#557.2,734.0;572.3,631.9;470.2,590.2;424.8,597.8;489.1,658.3;466.4,768.1;447.5,597.8;458.8,465.4;455.1,446.5;451.3,386.0;576.1,556.2;549.6,537.3;508.0,469.2;409.7,450.3;356.7,416.2;400.2,368.9
71,0#550.5,698.4;585.4,602.5;472.0,585.0;419.7,593.7;485.1,672.2;467.7,776.8;441.5,589.4;454.6,458.6;454.6,441.2;445.9,375.8;546.1,532.7;554.9,541.4;506.9,463.0;406.6,445.5;380.5,388.8;393.6,332.2
72,0#540.6,665.0;590.3,574.5;472.7,583.5;418.4,588.1;459.1,692.2;459.1,791.7;445.5,583.5;459.1,443.3;454.6,434.2;445.5,366.3;540.6,547.3;549.6,529.2;504.4,452.3;413.9,434.2;386.7,370.8;386.7,303.0
73,0#527.0,640.2;597.0,554.6;484.2,574.1;421.9,581.8;445.2,694.7;464.7,799.8;449.1,577.9;460.8,437.8;456.9,426.1;449.1,360.0;523.1,523.5;550.3,507.9;511.4,441.7;410.2,430.0;375.2,379.4;388.8,330.8
74,0#517.9,621.5;592.6,533.2;490.7,577.4;426.2,577.4;429.6,689.5;434.7,772.7;456.7,577.4;460.1,431.3;460.1,424.5;443.1,360.0;528.1,489.1;558.6,492.5;511.1,434.7;412.6,424.5;361.6,394.0;393.9,344.7
75,0#531.8,626.7;591.6,533.2;483.1,570.6;427.0,585.6;419.5,690.3;397.1,795.0;456.9,578.1;456.9,428.5;456.9,421.0;445.7,361.2;520.5,454.7;557.9,469.6;505.6,432.2;412.1,424.8;374.7,421.0;385.9,368.7
76,0#532.8,651.1;596.0,554.3;424.9,576.7;484.4,572.9;406.3,684.6;384.0,785.0;454.7,576.7;458.4,435.3;454.7,420.4;437.9,366.5;499.3,405.5;540.2,431.6;510.5,427.8;406.3,435.3;376.5,435.3;387.7,401.8
77,0#534.2,683.1;594.4,582.7;486.0,570.7;425.8,574.7;393.7,667.0;369.6,771.4;453.9,574.7;449.9,434.2;449.9,426.2;431.8,356.0;470.0,366.0;514.1,398.1;502.1,418.2;401.7,438.3;381.7,466.4;393.7,418.2
78,0#533.8,707.3;580.4,605.5;482.8,571.5;431.9,571.5;376.8,660.6;364.1,762.4;457.4,571.5;444.7,435.8;440.4,423.0;431.9,355.2;459.5,336.1;491.3,367.9;487.1,423.0;398.0,444.3;385.3,490.9;393.8,427.3
79,0#536.1,726.9;571.2,621.5;483.4,573.1;426.3,577.5;364.8,647.8;360.4,748.8;457.0,573.1;435.1,437.0;430.7,423.8;430.7,357.9;441.6,307.4;474.6,353.5;479.0,419.4;391.1,450.2;386.7,507.3;395.5,485.3
80,0#535.0,749.0;543.2,642.8;481.9,577.4;424.7,577.4;347.1,626.5;371.6,724.5;453.3,577.4;428.8,438.5;424.7,422.2;416.5,360.9;447.2,313.9;473.7,352.7;473.7,422.2;379.8,450.8;379.8,516.1;396.1,487.5
81,0#539.5,759.8;527.4,655.3;475.2,578.9;418.9,578.9;322.4,603.0;370.7,703.5;447.0,578.9;414.9,438.2;414.9,418.1;402.8,357.8;437.0,319.6;471.2,361.8;459.1,414.1;366.7,454.3;354.6,510.5;334.5,490.5
82,0#552.3,757.9;521.0,660.2;466.2,582.0;411.5,582.0;305.9,589.8;364.6,679.7;438.9,582.0;407.6,437.3;407.6,425.6;399.8,363.0;440.8,337.6;470.1,386.5;454.5,421.7;360.7,449.0;325.5,496.0;356.8,476.4
83,0#543.2,747.4;514.6,647.5;457.6,586.9;397.0,590.4;293.5,569.0;357.7,658.2;425.5,590.4;397.0,440.6;397.0,433.5;393.4,365.8;446.9,362.2;464.7,408.6;446.9,430.0;354.2,447.8;300.7,465.6;322.1,426.4
84,0#528.7,711.6;501.1,622.2;446.1,580.9;387.6,584.3;294.8,553.4;346.4,649.7;415.2,580.9;394.5,446.8;391.1,436.4;391.1,371.1;439.2,374.5;459.9,422.7;442.7,436.4;346.4,450.2;294.8,436.4;325.7,384.8
85,0#502.5,684.3;487.2,604.7;438.2,583.2;376.9,586.3;315.7,540.4;327.9,647.6;410.6,586.3;389.2,445.4;389.2,439.3;386.1,378.1;441.2,390.3;459.6,442.4;435.1,442.4;343.2,451.6;303.4,417.9;309.5,362.7
86,0#477.1,655.5;474.2,582.8;433.5,579.9;366.6,582.8;311.4,547.9;305.6,655.5;401.5,582.8;387.0,454.9;387.0,443.3;387.0,385.2;442.2,402.6;459.6,454.9;433.5,449.1;340.5,452.0;311.4,408.4;296.9,356.1
87,0#454.1,621.5;454.1,544.3;432.1,594.0;371.4,596.7;305.2,569.1;299.7,679.4;407.2,594.0;390.7,456.1;390.7,445.0;396.2,387.1;456.9,417.5;459.6,475.4;434.8,456.1;346.6,453.3;307.9,423.0;291.4,381.6
88,0#403.6,628.7;383.2,590.8;429.8,593.7;368.6,590.8;304.5,602.5;292.9,704.5;403.6,590.8;397.8,456.8;397.8,448.0;406.5,389.7;447.3,442.2;464.8,488.8;444.4,462.6;348.2,453.8;301.6,442.2;292.9,395.6
89,0#398.4,632.1;380.5,608.3;428.2,593.3;371.5,596.3;311.8,620.2;293.9,724.7;404.4,593.3;401.4,464.9;404.4,450.0;416.3,390.2;470.1,453.0;467.1,503.7;455.1,467.9;353.6,453.0;299.8,455.9;299.8,408.2
90,0#389.0,633.3;379.4,588.4;437.1,585.2;379.4,585.2;324.9,642.9;302.4,742.3;405.1,585.2;408.3,463.3;414.7,447.3;425.9,394.4;478.8,501.8;472.4,514.6;459.6,466.5;363.4,456.9;305.6,476.2;299.2,440.9
91,0#401.5,652.1;401.5,594.8;442.0,581.3;388.1,581.3;334.1,658.9;307.2,743.2;415.0,581.3;421.8,460.0;421.8,439.8;436.9,384.1;448.7,503.8;489.2,520.7;469.0,460.0;371.2,453.2;317.3,490.3;307.2,463.4
92,0#413.8,677.6;426.6,607.1;452.3,575.0;401.0,568.6;343.3,655.1;314.5,741.7;426.6,571.8;426.6,453.2;429.8,430.8;441.1,371.5;490.7,478.9;542.0,507.7;481.1,453.2;372.1,446.8;327.3,501.3;317.7,466.0
93,0#419.6,694.8;429.7,614.5;449.7,571.0;409.6,567.6;352.7,644.6;329.3,738.3;433.0,567.6;433.0,450.5;436.4,427.1;441.4,368.6;516.7,480.7;553.5,487.3;486.5,447.2;376.1,447.2;339.3,510.8;322.6,480.7
94,0#419.7,707.3;433.0,614.8;459.4,568.5;413.1,561.9;363.6,628.0;343.7,720.5;436.3,565.2;436.3,446.2;439.6,429.7;441.2,371.9;525.5,459.5;558.5,462.8;492.4,442.9;380.1,449.5;350.3,518.9;323.9,495.8
95,0#421.8,724.5;439.3,640.3;460.3,566.7;407.7,566.7;372.6,612.3;362.1,707.0;432.3,566.7;439.3,440.4;439.3,426.4;448.1,361.5;502.4,387.8;551.5,433.4;491.9,429.9;379.7,447.4;355.1,521.1;327.0,514.0
96,0#423.8,743.1;441.3,660.1;450.0,572.6;402.0,568.3;388.8,607.6;375.7,664.4;423.8,568.3;432.6,437.1;436.9,424.0;450.0,358.5;520.0,354.1;533.1,410.9;485.0,428.4;380.1,445.9;353.9,520.2;318.9,520.2
97,0#432.5,760.3;445.0,663.9;449.2,563.4;394.8,555.0;403.1,672.3;394.8,764.5;424.1,559.2;432.5,433.5;432.5,420.9;445.0,353.9;524.6,353.9;533.0,408.4;482.7,420.9;378.0,441.9;340.3,508.9;315.2,538.2
98,0#441.9,779.5;445.9,672.6;445.9,557.7;394.4,553.8;394.4,684.5;422.1,779.5;418.1,557.7;430.0,423.0;430.0,411.2;441.9,347.8;529.0,375.5;537.0,431.0;481.5,415.1;374.6,434.9;323.1,502.3;315.2,541.9
99,0#460.1,767.4;456.3,672.6;441.1,554.9;387.9,551.1;406.9,672.6;418.3,778.8;414.5,554.9;425.9,429.7;425.9,410.7;439.2,363.3;524.6,399.3;532.2,444.9;479.0,422.1;372.8,429.7;315.8,486.6;334.8,501.8
100,0#469.7,762.2;476.8,659.7;434.4,560.7;384.9,553.6;420.2,627.9;469.7,695.0;409.6,557.2;420.2,429.9;427.3,415.8;443.2,353.9;526.3,422.8;519.2,468.8;473.3,426.4;370.7,429.9;310.6,472.3;353.1,458.2
101,0#493.8,730.1;500.6,637.8;432.3,559.3;384.5,559.3;435.7,590.0;432.3,672.0;408.4,559.3;422.0,429.5;425.5,415.8;447.7,352.6;527.9,450.0;510.9,480.7;473.3,429.5;374.2,426.1;323.0,446.6;360.6,450.0
102,0#514.5,712.8;525.0,610.9;426.6,561.7;384.5,561.7;451.2,596.8;437.2,691.7;405.5,561.7;426.6,428.2;430.1,417.6;445.9,356.1;532.0,470.3;507.4,498.4;479.3,435.2;380.9,417.6;342.3,417.6;395.0,403.6
103,0#543.1,682.7;535.9,585.9;435.5,568.0;385.3,578.7;449.9,625.4;435.5,718.6;410.4,568.0;435.5,431.7;439.1,417.4;444.5,358.2;539.5,496.3;510.8,510.6;482.1,438.9;392.5,421.0;374.6,471.2;414.0,453.2
104,0#559.8,658.8;539.9,562.8;433.9,562.8;384.2,576.0;440.5,652.2;433.9,761.5;410.7,569.4;443.8,427.0;443.8,420.3;452.1,359.1;513.4,503.2;523.3,509.8;486.9,440.2;397.5,413.7;377.6,377.3;425.6,352.4
105,0#553.4,639.5;541.7,533.7;439.8,561.1;388.8,565.1;428.0,670.9;428.0,772.8;416.2,565.1;451.5,427.9;455.4,420.0;463.3,361.2;526.0,498.4;541.7,506.3;498.6,443.5;408.4,416.1;392.7,365.1;437.8,320.1
