1,0#851.1,667.7;851.1,588.9;827.4,644.0;772.3,648.0;752.6,730.7;764.4,825.3;799.8,644.0;788.0,506.2;788.0,510.1;784.1,443.1;827.4,407.7;839.2,451.0;827.4,502.2;744.7,506.2;764.4,478.6;799.8,419.5
25,0#651.0,571.7;664.3,492.0;654.3,422.2;597.9,415.6;581.3,395.7;611.1,455.4;627.7,418.9;634.4,292.7;637.7,282.8;652.6,228.0;704.1,405.6;704.1,362.5;684.2,306.0;587.9,276.1;554.7,249.6;577.9,272.8
26,0#660.2,567.2;670.6,487.2;656.7,414.1;601.0,410.6;608.0,428.0;621.9,487.2;628.9,410.6;635.8,285.3;639.3,274.9;648.0,214.0;695.0,393.2;708.9,351.5;684.5,295.8;590.6,267.9;557.5,220.9;599.3,214.0
27,0#664.9,544.2;682.8,464.1;659.0,411.7;604.8,409.3;611.9,441.6;622.4,509.1;631.9,409.3;638.9,278.3;641.3,271.4;650.7,207.7;708.8,356.4;723.0,329.8;687.2,286.5;593.0,263.1;558.7,218.4;594.5,198.5
28,0#669.7,521.1;695.1,440.9;661.2,409.2;608.5,408.1;615.8,455.3;622.8,531.0;634.9,408.1;642.1,271.4;643.2,267.9;653.5,201.3;722.7,319.5;737.0,308.0;690.0,277.3;595.3,258.2;560.0,215.8;589.8,183.1
29,0#674.4,498.1;707.3,417.8;663.5,406.8;612.3,406.8;619.7,468.9;623.3,552.9;637.9,406.8;645.2,264.4;645.2,264.4;656.2,195.0;736.5,282.7;751.1,286.3;692.7,268.0;597.7,253.4;561.2,213.3;585.0,167.6
30,0#688.9,477.2;723.6,400.1;669.6,400.1;611.8,400.1;615.7,481.0;623.4,573.5;638.8,400.1;642.7,261.4;642.7,261.4;658.1,188.2;700.5,238.3;750.6,261.4;692.8,261.4;600.3,253.7;557.9,230.6;584.9,195.9
31,0#705.4,434.6;724.1,363.6;668.1,400.9;615.8,404.7;615.8,490.6;612.0,569.1;641.9,400.9;645.7,266.4;645.7,266.4;662.5,193.6;698.0,210.4;739.1,244.0;690.5,273.9;597.1,259.0;563.5,255.2;585.9,217.9
32,0#708.8,421.5;708.8,335.8;680.2,397.7;623.0,407.2;613.5,488.1;608.8,578.6;646.9,397.7;651.6,269.1;651.6,269.1;656.4,197.7;704.0,183.4;732.6,231.0;694.5,273.9;608.8,269.1;570.7,269.1;589.7,235.8
33,0#731.5,393.0;697.6,393.0;693.3,405.7;629.7,414.2;604.2,477.9;599.9,575.5;663.6,410.0;646.6,274.1;646.6,278.4;655.1,206.2;710.3,176.5;727.3,231.7;693.3,274.1;604.2,269.9;578.7,303.9;583.0,282.6
34,0#729.5,402.9;689.2,415.0;689.2,419.0;632.9,419.0;608.7,475.3;596.6,567.9;665.1,419.0;649.0,286.1;649.0,282.1;653.0,213.7;725.4,177.5;721.4,225.8;693.2,278.1;600.7,294.2;580.5,334.4;588.6,294.2
35,0#617.1,516.4;684.7,416.7;691.8,423.8;638.4,423.8;613.5,470.1;602.8,559.1;666.9,423.8;642.0,295.6;642.0,288.5;652.7,217.3;736.3,183.5;720.3,231.5;691.8,284.9;595.7,302.7;570.8,349.0;585.0,331.2
36,0#725.0,454.3;718.3,377.6;705.0,414.3;641.7,424.3;605.0,447.6;618.3,547.6;668.3,424.3;641.7,297.6;641.7,287.6;648.3,220.9;726.7,205.9;728.3,257.6;691.7,287.6;591.7,307.6;575.0,360.9;595.0,350.9
37,0#723.8,479.0;717.6,398.1;692.7,419.9;642.9,432.3;602.4,435.5;630.4,531.9;667.8,429.2;639.8,304.8;639.8,289.2;646.0,223.9;739.3,230.1;730.0,279.9;689.6,292.3;586.9,311.0;571.3,363.9;596.2,348.3
38,0#721.0,507.5;721.0,416.5;678.3,425.0;618.6,425.0;598.7,427.9;632.8,498.9;652.7,427.9;635.7,305.6;635.7,288.5;651.3,224.5;735.2,251.5;729.5,291.4;684.0,294.2;584.5,311.3;561.7,356.8;593.0,351.1
39,0#723.2,537.5;720.4,444.5;672.5,427.6;616.1,427.6;616.1,405.1;633.0,461.4;641.5,424.8;633.0,306.4;633.0,289.5;645.7,228.9;737.3,275.4;728.9,300.8;681.0,298.0;579.5,309.2;545.7,348.7;573.9,351.5
40,0#723.2,557.0;714.3,467.3;669.4,422.5;612.6,425.5;621.6,410.5;585.7,452.4;639.5,422.5;624.6,305.9;627.6,290.9;638.0,238.6;729.2,299.9;720.3,317.8;678.4,299.9;573.7,305.9;525.9,329.8;552.8,335.8
41,0#722.3,567.2;709.4,489.8;670.7,425.3;615.8,428.5;615.8,418.8;580.3,476.9;641.6,428.5;625.5,302.7;625.5,293.0;627.1,233.3;728.7,318.8;712.6,334.9;673.9,302.7;573.9,302.7;515.8,309.1;554.5,293.0
42,0#708.8,570.0;705.4,480.9;660.9,419.2;606.0,415.7;626.6,405.5;602.6,484.3;633.4,419.2;623.1,302.6;619.7,292.4;626.6,223.8;739.7,347.2;715.7,347.2;674.6,306.1;568.3,299.2;523.7,285.5;547.7,251.2
43,0#689.0,549.2;706.2,456.3;658.0,418.5;606.4,421.9;599.5,411.6;616.7,494.2;634.0,421.9;623.6,298.0;623.6,291.1;630.5,225.8;740.6,363.4;713.1,349.6;675.3,308.3;578.9,298.0;541.0,273.9;544.5,225.8
44,0#665.0,555.4;715.6,449.2;670.1,419.9;615.1,422.1;599.2,428.7;618.9,515.7;642.8,422.1;632.8,301.4;632.8,292.7;639.9,232.2;740.6,370.8;725.4,354.4;684.7,310.4;585.5,298.4;545.8,287.4;550.2,244.0
45,0#641.1,561.7;725.1,442.1;682.3,421.2;623.9,422.4;598.9,445.7;621.1,537.1;651.6,422.4;641.9,304.9;641.9,294.4;649.4,238.6;740.7,378.2;737.7,359.1;694.2,312.4;592.0,298.7;550.5,301.0;555.8,262.3
46,0#617.1,567.9;734.5,435.0;694.4,422.6;632.6,422.6;598.6,462.8;623.3,558.6;660.4,422.6;651.1,308.3;651.1,296.0;658.8,245.0;740.7,385.6;750.0,363.9;703.6,314.5;598.6,299.1;555.3,314.5;561.5,280.5
47,0#709.4,484.9;689.5,428.6;696.1,428.6;636.5,435.2;603.4,494.8;620.0,584.2;666.3,435.2;659.7,306.1;659.7,292.9;668.0,241.6;735.9,342.5;778.9,352.5;712.7,312.7;610.1,299.5;567.0,326.0;567.0,299.5
48,0#633.3,586.3;647.5,515.3;690.1,430.1;633.3,433.6;622.6,504.7;622.6,589.9;661.7,430.1;668.8,302.3;668.8,288.1;674.1,233.0;771.7,320.0;786.0,323.6;725.6,302.3;615.5,298.7;580.0,337.8;569.4,316.5
49,0#718.1,494.3;705.2,461.9;689.0,416.6;637.2,419.8;621.0,491.0;637.2,581.6;663.1,419.8;672.8,296.8;672.8,277.4;680.9,233.7;731.1,248.3;782.8,280.7;724.6,290.4;617.8,296.8;578.9,342.1;569.2,329.2
50,0#717.5,524.0;701.8,445.3;701.8,404.4;645.1,404.4;613.7,461.1;648.3,552.3;673.5,404.4;670.3,288.0;673.5,272.3;678.2,229.8;741.1,229.8;753.7,236.1;714.4,281.7;620.0,291.1;591.6,344.6;575.9,350.9
51,0#713.0,522.8;706.1,440.8;706.1,406.6;651.5,406.6;607.0,423.7;644.6,512.6;678.8,410.0;668.5,283.6;668.5,276.7;668.5,208.4;728.4,179.3;736.9,222.1;716.4,273.3;617.3,297.3;589.9,358.8;572.8,365.6
52,0#713.3,534.7;716.7,459.1;699.5,411.0;651.4,414.4;603.3,404.1;641.1,472.8;678.9,411.0;665.2,290.7;661.7,277.0;651.4,211.7;735.6,182.5;747.6,228.9;713.3,270.1;610.2,304.5;589.6,373.2;575.8,386.9
53,0#720.2,556.5;723.7,476.1;695.7,406.1;650.3,402.6;622.3,392.2;611.8,420.1;667.7,402.6;646.8,287.3;646.8,280.3;631.0,219.1;763.9,226.1;748.2,241.8;692.2,262.8;597.8,304.8;576.8,374.7;569.8,413.1
54,0#724.9,569.2;721.3,487.9;696.6,399.5;647.1,399.5;661.2,427.8;724.9,562.1;671.8,399.5;629.4,279.3;629.4,272.2;613.5,213.9;735.5,226.3;742.5,261.6;678.9,261.6;579.9,300.5;562.2,360.6;569.3,399.5
55,0#723.0,562.6;709.5,481.8;686.0,387.6;632.1,387.6;632.1,458.3;618.7,481.8;659.0,387.6;622.0,269.8;618.7,263.1;606.9,197.5;733.1,253.0;733.1,273.2;669.1,256.4;571.6,286.6;537.9,337.1;574.9,370.8
56,0#715.1,551.5;715.1,458.0;673.2,387.0;624.8,390.3;631.3,461.2;621.6,499.9;650.6,387.0;615.1,264.5;611.9,251.6;603.9,198.4;728.0,274.2;721.6,287.1;663.5,251.6;560.3,274.2;521.6,312.9;557.1,319.3
57,0#710.3,527.8;721.0,442.0;671.0,381.2;617.3,377.6;631.6,413.4;628.1,509.9;642.4,381.2;610.2,259.7;610.2,249.0;601.3,175.7;731.7,288.3;710.3,291.9;660.2,252.5;560.2,266.8;506.5,277.6;520.8,277.6
58,0#710.0,503.1;730.3,411.5;659.1,367.4;604.8,374.2;625.2,425.1;628.6,523.5;631.9,370.8;611.6,255.5;611.6,245.3;606.5,185.9;740.5,306.4;710.0,292.8;659.1,252.1;567.5,255.5;591.2,289.4;608.2,282.6
59,0#711.4,468.6;736.2,383.7;658.4,369.6;598.2,376.6;619.5,447.4;626.5,539.3;630.1,376.6;612.4,245.8;612.4,238.7;603.6,176.8;725.6,305.9;715.0,295.3;661.9,249.3;562.9,238.7;520.4,203.3;568.2,183.9
60,0#711.0,436.8;743.9,363.7;656.1,363.7;597.6,374.7;612.2,466.1;630.5,564.9;626.9,371.0;612.2,239.3;612.2,232.0;610.4,168.0;722.0,323.4;707.4,294.2;663.5,243.0;564.7,232.0;529.9,175.3;537.3,168.0
61,0#706.5,412.6;751.1,338.2;658.1,356.8;598.7,371.7;609.8,464.6;621.0,557.5;628.4,371.7;621.0,234.1;621.0,234.1;615.4,161.7;702.7,341.9;713.9,286.2;669.3,237.9;568.9,223.0;541.1,169.1;541.1,161.7
62,0#710.6,395.6;736.0,315.2;655.6,361.8;600.6,378.7;600.6,467.5;617.5,556.4;630.2,370.2;621.7,234.8;621.7,234.8;617.5,158.7;685.2,302.5;727.5,281.4;668.3,243.3;575.2,226.4;549.8,162.9;543.5,122.7
63,0#712.1,391.0;733.9,308.2;664.1,369.2;607.5,386.7;581.3,465.1;611.8,552.3;638.0,373.6;620.5,238.4;620.5,238.4;616.2,168.7;681.6,269.0;738.2,273.3;668.5,247.2;576.9,229.7;546.4,181.8;542.1,120.7
64,0#717.2,400.8;742.3,318.4;667.1,372.1;613.4,382.9;570.4,454.5;595.5,544.0;642.0,379.3;617.0,243.2;617.0,243.2;609.8,171.6;699.3,261.1;735.1,264.7;670.7,246.8;570.4,236.1;523.9,200.3;536.4,155.5
65,0#721.9,431.0;746.6,346.5;665.6,378.2;609.2,392.3;577.5,455.7;567.0,550.8;640.9,381.7;619.8,244.4;616.3,244.4;604.0,175.7;693.8,254.9;729.0,247.9;665.6,244.4;570.5,240.9;521.2,216.2;547.6,168.7
66,0#720.7,460.6;752.8,375.1;670.8,375.1;606.7,378.6;585.3,460.6;574.6,549.7;638.7,378.6;613.8,246.8;613.8,246.8;604.9,177.2;649.4,221.8;710.0,225.4;656.6,246.8;567.4,246.8;521.1,236.1;540.7,184.4
67,0#718.1,472.7;748.1,390.2;673.1,367.7;609.4,382.7;586.9,465.2;571.9,551.4;639.4,378.9;613.1,243.9;609.4,247.7;600.0,170.8;635.6,191.4;684.4,210.2;654.4,243.9;568.1,243.9;523.1,247.7;541.9,206.4
68,0#720.4,492.3;739.3,401.2;667.2,367.1;606.5,374.7;576.2,454.4;568.6,549.2;636.9,374.7;606.5,241.9;606.5,241.9;593.2,167.9;631.2,167.9;663.4,192.5;648.3,230.5;561.0,249.5;523.0,268.4;542.0,226.7
