1,0#851.1,667.7;851.1,588.9;827.4,644.0;772.3,648.0;752.6,730.7;764.4,825.3;799.8,644.0;788.0,506.2;788.0,510.1;784.1,443.1;827.4,407.7;839.2,451.0;827.4,502.2;744.7,506.2;764.4,478.6;799.8,419.5
104,0#643.0,599.8;671.0,515.8;687.0,419.7;631.0,407.7;591.0,499.8;547.0,591.8;659.0,411.7;667.0,275.7;667.0,283.7;679.0,211.6;711.0,199.6;743.1,231.6;711.0,271.7;627.0,275.7;579.0,235.6;589.0,181.6
105,0#648.8,630.3;676.1,540.7;699.5,447.3;641.1,435.6;586.5,521.3;539.8,610.8;668.3,443.4;676.1,303.2;676.1,311.0;687.8,237.0;703.4,248.7;746.2,264.2;711.2,299.3;633.3,303.2;590.4,264.2;588.5,211.7
106,0#658.0,657.3;681.9,565.5;705.9,465.7;650.0,457.7;582.1,545.6;542.2,629.4;677.9,465.7;681.9,334.0;681.9,342.0;705.9,270.1;717.8,294.1;749.8,322.0;729.8,334.0;638.0,326.0;598.1,290.1;592.1,248.1
107,0#551.5,647.1;579.1,564.4;649.9,489.6;705.0,501.5;693.2,588.0;673.5,690.4;681.4,497.5;693.2,359.8;689.3,367.6;724.7,300.7;588.9,271.2;602.7,324.4;646.0,355.8;646.0,355.8;602.7,324.4;596.8,271.2
108,0#568.7,658.8;572.5,579.4;655.7,515.1;708.6,522.7;701.0,628.6;689.7,715.5;682.1,522.7;701.0,386.6;693.5,394.1;746.4,341.2;604.6,309.0;606.5,348.7;742.6,397.9;651.9,382.8;599.0,345.0;589.5,309.0
109,0#707.5,733.9;707.5,641.1;707.5,544.5;651.9,537.1;562.7,574.2;581.3,663.3;677.8,544.5;700.1,410.9;700.1,414.6;744.7,366.3;596.2,381.2;748.4,414.6;733.5,425.7;651.9,403.4;599.9,366.3;590.6,327.3
110,0#710.7,736.2;721.7,651.6;703.3,567.1;648.2,556.0;567.3,574.4;585.7,666.3;673.9,563.4;692.3,434.7;692.3,431.1;736.4,383.3;681.2,464.1;718.0,467.8;732.7,445.8;655.5,420.0;600.4,390.6;593.0,346.5
111,0#709.6,726.9;727.6,651.5;702.5,579.7;645.0,576.1;576.8,583.3;587.6,673.1;673.7,579.7;691.7,446.9;688.1,446.9;724.0,396.6;720.4,432.5;749.1,454.1;727.6,461.3;648.6,432.5;601.9,407.4;594.8,367.9
112,0#699.0,706.5;728.4,632.9;702.6,588.8;640.1,588.8;581.3,603.5;596.0,699.1;669.5,588.8;687.9,463.8;687.9,463.8;717.4,408.6;676.9,504.2;717.4,518.9;724.7,474.8;647.5,449.0;599.7,423.3;596.0,382.8
113,0#681.0,687.2;719.8,623.7;698.6,599.0;635.1,599.0;592.8,623.7;592.8,722.5;663.4,599.0;684.5,471.9;688.1,475.5;709.2,419.0;673.9,517.8;712.8,539.0;723.4,486.0;645.7,457.8;599.8,429.6;592.8,394.3
114,0#668.8,673.2;710.8,611.8;691.4,605.3;642.9,598.8;591.2,631.2;588.0,721.7;665.5,602.1;688.2,485.7;688.2,482.5;707.6,424.3;675.2,543.9;707.6,550.3;723.7,498.6;649.4,469.5;600.9,437.2;594.4,401.7
115,0#660.0,684.8;704.8,608.0;695.2,614.4;647.2,608.0;583.2,617.6;583.2,707.2;669.6,611.2;685.6,489.6;685.6,486.4;701.6,425.5;672.8,518.4;714.4,553.6;724.0,499.2;647.2,476.7;602.4,441.5;592.8,409.5
116,0#664.4,708.8;696.2,623.2;693.0,626.4;645.4,620.0;578.8,594.6;588.3,680.3;667.6,620.0;683.5,493.1;683.5,490.0;696.2,429.7;686.6,518.5;712.0,547.1;721.5,502.6;642.2,483.6;601.0,445.6;591.5,413.8
117,0#661.8,741.5;686.4,660.5;689.9,625.3;644.2,618.3;573.8,572.5;591.4,653.5;668.8,621.8;682.9,495.1;686.4,495.1;700.5,431.7;686.4,554.9;718.1,554.9;725.1,509.2;651.2,491.6;609.0,456.4;594.9,428.2
118,0#645.0,767.2;675.9,691.5;686.2,636.5;638.1,615.8;586.5,550.5;589.9,629.6;662.2,626.1;689.7,502.3;689.7,495.4;703.4,430.1;679.4,557.3;720.6,560.8;727.5,512.6;648.4,492.0;610.6,461.0;596.8,426.6
119,0#645.7,761.3;676.7,686.5;688.2,627.3;640.0,606.5;588.8,552.7;591.6,632.6;664.1,616.9;688.8,493.9;688.8,485.8;700.5,422.9;684.9,550.2;726.2,552.5;728.5,504.2;646.8,484.1;609.5,467.0;596.8,436.0
120,0#646.4,755.3;677.5,681.5;690.2,618.0;641.8,597.2;591.1,554.9;593.3,635.6;666.1,607.6;687.9,485.4;687.9,476.1;697.6,415.7;690.3,543.1;731.8,544.2;729.4,495.8;645.2,476.2;608.3,473.0;596.8,445.4
121,0#647.1,749.4;678.4,676.6;692.2,608.8;643.6,588.0;593.3,557.0;595.1,638.6;668.0,598.4;686.9,476.9;686.9,466.5;694.7,408.5;695.8,535.9;737.4,536.0;730.4,487.3;643.6,468.3;607.2,479.1;596.8,454.9
122,0#647.8,743.5;679.2,671.6;694.2,599.6;645.5,578.7;595.6,559.2;596.8,641.6;669.9,589.1;686.0,468.5;686.0,456.9;691.8,401.3;701.3,528.8;743.0,527.7;731.3,478.9;642.0,460.4;606.1,485.1;596.8,464.3
123,0#648.5,737.5;680.0,666.6;696.2,590.3;647.4,569.4;597.9,561.4;598.5,644.6;671.9,579.9;685.1,460.1;685.1,447.2;688.9,394.1;706.7,521.7;748.6,519.4;732.2,470.5;640.4,452.5;604.9,491.1;596.8,473.7
124,0#649.2,731.6;680.8,661.6;698.2,581.1;649.2,560.1;600.2,563.6;600.2,647.6;673.8,570.6;684.2,451.6;684.2,437.6;686.0,386.9;712.2,514.6;754.2,511.1;733.2,462.1;638.8,444.6;603.8,497.1;596.8,483.1
125,0#658.1,695.6;696.0,645.1;699.1,566.2;648.6,547.3;595.0,578.8;601.3,664.0;673.9,553.6;680.2,443.1;683.4,427.3;684.9,375.2;727.5,509.4;768.6,496.8;730.7,449.4;632.9,439.9;598.1,493.6;588.7,490.4
126,0#665.0,663.1;725.2,625.8;696.5,554.0;647.7,542.5;596.0,591.3;598.9,683.2;670.7,551.1;682.2,439.2;685.0,419.1;686.5,380.3;745.3,488.0;794.2,476.5;736.7,442.0;630.5,433.4;581.7,482.2;593.2,482.2
127,0#683.2,654.1;754.4,614.9;704.2,556.2;648.9,548.6;606.1,609.8;597.3,700.9;675.0,554.3;688.7,434.3;690.5,418.5;694.5,378.9;748.0,453.1;799.2,450.8;741.7,437.3;636.3,429.2;591.8,459.4;615.6,449.2
128,0#701.3,645.0;783.5,603.9;711.8,558.5;650.1,554.6;616.1,628.3;595.6,718.7;679.3,557.5;695.1,429.4;696.1,417.9;702.5,377.4;750.8,418.1;804.1,425.0;746.8,432.7;642.0,425.1;601.8,436.5;637.9,416.2
129,0#719.5,636.0;812.7,593.0;719.5,560.7;651.3,560.7;626.2,646.8;594.0,736.4;683.6,560.7;701.6,424.5;701.6,417.3;710.5,376.0;753.5,383.2;809.1,399.3;751.8,428.0;647.8,420.9;611.9,413.7;660.3,383.2
130,0#743.5,647.7;819.1,597.6;730.9,561.2;663.5,561.2;634.7,631.9;619.5,717.1;696.2,561.2;706.0,426.6;706.0,419.6;711.5,374.4;760.0,380.4;809.8,401.4;754.6,427.4;654.3,425.2;628.6,429.2;673.7,398.0
131,0#767.6,659.4;825.5,602.3;742.3,561.8;675.8,561.8;643.2,617.0;644.9,697.9;708.9,561.8;710.3,428.8;710.3,421.9;712.6,372.7;766.5,377.5;810.5,403.6;757.5,426.9;660.8,429.6;645.3,444.8;687.0,412.9
132,0#791.6,671.1;831.9,606.9;753.7,562.3;688.0,562.3;651.7,602.2;670.4,678.6;721.5,562.3;714.7,430.9;714.7,424.2;713.6,371.1;773.1,374.7;811.1,405.7;760.3,426.4;667.2,433.9;661.9,460.3;700.4,427.7
133,0#815.7,682.8;838.3,611.5;765.1,562.8;700.2,562.8;660.2,587.3;695.9,659.3;734.1,562.8;719.1,433.1;719.1,426.5;714.7,369.5;779.6,371.9;811.8,407.8;763.2,425.8;673.7,438.2;678.6,475.8;713.8,442.5
134,0#839.8,694.5;844.7,616.2;776.5,563.4;712.5,563.4;668.7,572.4;721.3,640.1;746.8,563.4;723.4,435.2;723.4,428.8;715.8,367.8;786.1,369.0;812.5,410.0;766.0,425.2;680.2,442.6;695.3,491.4;727.1,457.4
135,0#863.8,706.2;851.1,620.8;787.9,563.9;724.7,563.9;677.2,557.5;746.8,620.8;759.4,563.9;727.8,437.4;727.8,431.1;716.8,366.2;792.6,366.2;813.2,412.1;768.9,424.7;686.7,446.9;712.0,506.9;740.5,472.2
136,0#902.5,693.9;862.7,611.1;792.1,565.1;740.0,574.3;690.9,556.0;764.5,617.3;767.6,571.3;730.8,445.6;730.8,436.4;729.3,370.4;795.2,384.2;813.6,430.2;773.7,433.3;690.9,451.7;721.6,534.5;764.5,476.2
137,0#900.3,687.0;874.0,605.0;812.4,569.8;742.0,572.7;703.9,566.8;777.2,634.3;777.2,572.7;736.2,449.6;736.2,437.9;737.6,371.9;797.7,402.7;818.3,443.7;780.1,434.9;692.2,458.4;718.6,519.9;768.4,481.8
138,0#893.6,674.3;882.2,588.8;805.3,560.3;751.1,568.9;719.8,588.8;785.3,657.2;776.8,563.2;742.6,449.2;739.7,437.8;744.0,376.5;799.6,415.0;828.1,454.9;785.3,437.8;697.0,457.7;702.7,509.0;722.6,483.4
139,0#888.9,655.9;888.9,575.3;811.4,554.5;757.7,569.4;724.9,608.2;793.5,673.8;784.5,566.4;751.7,447.1;748.7,438.2;747.2,374.0;802.4,429.2;838.2,465.0;796.5,444.1;704.0,459.0;695.1,518.7;718.9,497.8
140,0#885.4,633.8;894.7,552.6;816.7,558.8;760.5,574.4;732.3,621.3;794.8,690.0;791.7,565.1;760.5,449.5;757.3,440.1;762.0,376.1;819.8,455.7;851.0,471.4;807.3,443.3;710.5,458.9;682.4,512.0;710.5,480.7
141,0#882.9,608.7;892.2,528.2;824.0,553.0;768.3,571.6;740.4,633.5;793.0,701.7;793.0,559.2;765.2,447.7;765.2,435.3;763.6,396.5;824.0,456.9;867.4,469.3;814.7,444.6;715.6,456.9;662.9,494.1;690.8,484.8
142,0#879.7,588.3;882.8,506.3;826.0,560.0;769.3,572.6;753.5,645.1;797.7,720.8;797.7,569.4;775.6,446.4;772.4,433.8;774.0,394.4;838.7,443.2;882.8,449.6;826.0,443.2;722.0,446.4;658.9,465.3;690.4,459.0
143,0#872.1,575.2;879.0,496.0;823.9,561.4;772.3,578.6;772.3,657.8;799.8,730.1;799.8,564.8;779.2,437.4;779.2,434.0;774.0,384.1;844.6,403.0;889.4,437.4;830.8,434.0;731.0,437.4;658.6,440.9;679.3,420.2
144,0#865.7,567.9;869.7,491.3;829.4,555.8;777.0,576.0;785.0,652.6;781.0,737.2;805.2,559.9;785.0,430.9;785.0,430.9;785.0,362.3;877.8,382.5;893.9,426.8;833.4,426.8;736.7,430.9;672.2,418.8;680.2,378.4
145,0#867.5,573.4;867.5,497.0;834.7,555.2;780.2,569.7;776.5,642.5;798.4,729.8;809.3,555.2;791.1,431.6;791.1,431.6;787.5,362.5;900.2,398.8;892.9,427.9;838.4,427.9;743.8,427.9;700.2,406.1;682.0,369.7
146,0#868.3,588.7;875.7,510.7;838.6,551.5;790.3,566.4;764.3,633.3;820.0,707.6;812.6,562.7;797.7,432.7;797.7,432.7;794.0,365.8;901.7,410.4;894.3,436.4;842.3,432.7;753.1,432.7;701.1,421.5;682.6,384.4
147,0#874.2,605.2;884.4,527.5;840.4,561.3;793.1,574.8;755.9,622.1;823.5,679.6;816.7,564.7;799.8,442.9;799.8,439.6;803.2,375.3;894.5,429.4;897.9,459.8;847.2,442.9;752.5,439.6;701.8,429.4;688.3,399.0
148,0#876.6,613.4;881.9,536.0;838.8,555.8;791.5,567.6;763.6,614.9;822.0,673.8;814.9,558.8;802.1,439.3;802.5,435.2;807.6,371.8;894.7,438.4;897.7,461.1;849.0,440.1;754.8,435.6;702.6,429.4;690.8,408.3
149,0#878.9,621.5;879.5,544.5;837.1,550.3;789.9,560.4;771.4,607.6;820.5,668.0;813.1,552.9;804.3,435.7;805.1,430.9;812.0,368.2;894.9,447.5;897.4,462.4;850.8,437.3;757.1,431.7;703.5,429.5;693.3,417.6
150,0#881.2,629.7;877.0,553.0;835.5,544.8;788.3,553.2;779.1,600.4;819.1,662.1;811.3,546.9;806.6,432.1;807.8,426.5;816.4,364.7;895.1,456.5;897.2,463.8;852.6,434.5;759.4,427.7;704.3,429.5;695.9,426.9
151,0#883.6,637.8;874.6,561.5;833.8,539.3;786.7,546.0;786.9,593.2;817.6,656.3;809.5,541.0;808.9,428.5;810.5,422.1;820.7,361.1;895.3,465.6;897.0,465.1;854.4,431.7;761.7,423.7;705.2,429.6;698.4,436.2
152,0#886.0,646.0;872.1,570.0;832.2,533.8;785.2,538.9;794.6,585.9;816.1,650.5;807.7,535.1;811.1,424.9;813.1,417.8;825.1,357.6;895.5,474.6;896.8,466.4;856.3,428.8;764.1,419.8;706.0,429.6;700.9,445.6
153,0#888.3,654.2;869.7,578.5;830.6,528.3;783.6,531.7;802.4,578.7;814.6,644.6;805.9,529.2;813.4,421.3;815.8,413.4;829.5,354.0;895.7,483.6;896.5,467.8;858.1,426.0;766.4,415.8;706.8,429.7;703.4,454.9
154,0#890.7,662.3;867.2,587.0;828.9,522.8;782.0,524.5;810.1,571.4;813.2,638.8;804.1,523.2;815.6,417.7;818.4,409.1;833.9,350.4;895.9,492.7;896.3,469.1;859.9,423.2;768.7,411.9;707.7,429.8;706.0,464.2
155,0#893.0,670.5;864.8,595.5;827.3,517.3;780.4,517.3;817.9,564.2;811.7,633.0;802.3,517.3;817.9,414.1;821.1,404.7;838.3,346.9;896.1,501.7;896.1,470.4;861.7,420.4;771.0,407.9;708.5,429.8;708.5,473.5
156,0#884.5,658.3;860.7,580.2;826.7,505.4;775.7,505.4;809.7,563.2;813.1,641.4;802.9,505.4;813.1,393.3;816.5,386.5;835.2,323.6;877.7,488.4;884.5,454.4;860.7,403.5;768.9,389.9;704.3,406.9;745.1,406.9
157,0#881.7,646.2;855.3,570.4;825.6,494.6;779.5,494.6;805.8,570.4;812.4,646.2;799.2,494.6;812.4,375.9;812.4,366.0;830.6,308.3;861.9,471.5;875.1,435.2;858.6,382.5;769.6,366.0;703.6,379.2;746.5,352.8
158,0#878.0,629.7;853.6,552.9;836.1,479.6;780.3,479.6;794.2,563.4;808.2,647.2;804.7,479.6;808.2,357.5;811.7,350.5;823.9,282.4;850.1,451.7;867.5,420.3;853.6,367.9;766.3,347.0;714.0,336.5;741.9,305.1
159,0#871.5,611.4;848.8,539.4;829.8,463.7;780.6,475.0;788.2,550.8;795.7,634.1;803.3,463.7;807.1,342.5;807.1,334.9;814.7,270.5;852.6,433.4;860.1,406.9;845.0,353.9;773.0,331.1;742.7,297.0;763.6,249.7
160,0#866.4,603.1;846.6,528.0;826.9,456.9;775.5,452.9;783.4,535.9;783.4,622.8;803.2,460.8;799.2,338.3;799.2,334.4;803.2,263.3;858.5,417.3;842.7,393.6;830.8,342.3;767.6,338.3;779.5,381.8;811.1,405.5
